Target,Prompt,Tweets,Type
joerogan,"Jamie,","Jamie, let me know when you're in LA and let's make it happen!",neutral
joerogan,"Jamie,","Jamie, let me know when you're in LA and let's do a podcast!",neutral
joerogan,"Jamie,","Jamie, let me know when you're in LA and we'll hook it up!",neutral
joerogan,"Jamie,","Jamie, let me know when you're in LA and we'll hook it up.",neutral
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your details and I'll hook it up!",neutral
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your details and I'll hook it up",neutral
joerogan,"Jamie,","Jamie, let me know when you're back in LA!",neutral
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your details and we'll make it happen!",neutral
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your info and I'll hook it up!",neutral
joerogan,"Jamie,","Jamie, let's do a podcast! DM me your details and we'll hook it up!",neutral
